train_mix,eval_mix,regime,epistemic_utility_mean,epistemic_utility_std,aggregate_scalar_reward_mean,aggregate_scalar_reward_std,unsupported_certainty_rate_mean,unsupported_certainty_rate_std,selective_risk_mean,selective_risk_std,coverage_mean,coverage_std
ambiguous_heavy,ambiguous_heavy,crs,0.8543,0.0092,0.5278,0.01,0.0294,0.0102,0.041,0.0103,0.3915,0.0137
ambiguous_heavy,ambiguous_heavy,scalar,0.8081,0.0111,0.5426,0.0101,0.0417,0.0121,0.1262,0.0127,0.4552,0.0134
balanced,balanced,crs,0.8564,0.0108,0.5355,0.0098,0.0263,0.0084,0.0488,0.0108,0.4115,0.0129
balanced,balanced,scalar,0.8017,0.0146,0.5511,0.0096,0.0353,0.0089,0.1623,0.0143,0.4837,0.0132
high_insuff,high_insuff,crs,0.8705,0.0113,0.4706,0.0102,0.047,0.008,0.1635,0.0177,0.3136,0.0142
high_insuff,high_insuff,scalar,0.8794,0.0122,0.4699,0.0097,0.0361,0.0072,0.1551,0.0185,0.3052,0.0142
high_suff,high_suff,crs,0.8022,0.0106,0.6168,0.0142,0.0238,0.0104,0.0757,0.0435,0.5933,0.0359
high_suff,high_suff,scalar,0.7149,0.013,0.6403,0.0118,0.0342,0.011,0.189,0.0096,0.6917,0.0148
standard,ambiguous_heavy,crs,0.8577,0.0108,0.5264,0.0104,0.0251,0.0106,0.039,0.0153,0.3874,0.0136
standard,ambiguous_heavy,scalar,0.7989,0.0129,0.5411,0.0098,0.0341,0.0123,0.142,0.0133,0.461,0.0139
standard,balanced,crs,0.8581,0.0113,0.534,0.0115,0.0271,0.0073,0.0492,0.0235,0.409,0.018
standard,balanced,scalar,0.8002,0.0132,0.5504,0.0104,0.0356,0.0084,0.1633,0.0139,0.4836,0.014
standard,high_insuff,crs,0.9158,0.0101,0.4588,0.009,0.0253,0.0058,0.0462,0.0208,0.2571,0.0103
standard,high_insuff,scalar,0.8794,0.0123,0.4689,0.0089,0.0325,0.006,0.1583,0.0195,0.3036,0.0112
standard,high_suff,crs,0.8029,0.0115,0.6207,0.009,0.0251,0.0106,0.0562,0.0276,0.5874,0.0201
standard,high_suff,scalar,0.7214,0.0141,0.6433,0.0086,0.0341,0.0123,0.1822,0.0096,0.6909,0.0115
standard,standard,crs,0.8437,0.0127,0.5556,0.01,0.0269,0.0074,0.0521,0.026,0.4542,0.0175
standard,standard,scalar,0.7796,0.0153,0.574,0.0098,0.0354,0.0086,0.1702,0.0138,0.5368,0.0127
