tau,epi_mean,epi_ci,smooth_mean,smooth_ci,ucr_mean,ucr_ci,risk_mean,risk_ci,lambda_mean
0.0,-0.04407777777777778,0.04762280562020147,0.9727222222222223,0.03693271137743924,0.9381890567606334,0.0836676766644376,0.5291081564279885,0.014764378353069204,1.1016979166666665
0.1,0.01308148148148148,0.06357926521925782,0.9298851851851851,0.04702583220925484,0.8465540210603434,0.10226640433219156,0.5128179409068488,0.020380119783665957,0.5476556490384612
0.2,0.0356,0.0658704910975993,0.9128111111111111,0.04850705615869629,0.8102118757160665,0.10332264802348987,0.5063466175320224,0.022118807111308758,0.6499515224358979
0.3,0.43775555555555556,0.021750158557765135,0.6101962962962962,0.01752312685455144,0.14278693578802548,0.034173578440978784,0.3784280794034085,0.009918766109232273,0.8540676081730764
0.4,0.4493185185185185,0.02086463265545602,0.6013037037037037,0.017076878815874066,0.15002850342320864,0.030578514212263406,0.3726905331052269,0.010054967584636539,0.9031538962339752
0.5,0.49586666666666673,0.01880442148840404,0.5651777777777778,0.015199056929061448,0.1445719930091739,0.019134518437617667,0.35002890140344334,0.010233100980459098,0.7153818108974355
0.6,0.6174740740740741,0.009901047124658257,0.4707814814814814,0.010533438779202512,0.0907063449236005,0.008341005678075757,0.2841257519660455,0.006812216839346081,0.8241544471153833
0.65,0.6981037037037037,0.007544671679812246,0.4069296296296296,0.008357638452602664,0.06543485064932698,0.005039379460986058,0.23167375529589043,0.006381628823619513,0.8571463341346154
0.7,0.7370814814814816,0.008055855727869887,0.37434814814814815,0.009484720237230255,0.056107325833749465,0.005156492541206744,0.20256988659303113,0.0066132054016882595,0.8842684795673054
0.75,0.7746148148148149,0.007782961226189586,0.3367296296296296,0.010353277909747594,0.04645116477688003,0.004881934866890608,0.16780881591795166,0.007357766943410384,1.0267167968749984
0.8,0.8333814814814815,0.005318413672609474,0.24495555555555554,0.010784377675831545,0.03175596617833091,0.004112300991689313,0.07662404835994324,0.006882095637956442,2.1437537560096143
0.85,0.8458888888888889,0.004369837886040712,0.2125925925925926,0.010435876370023996,0.027068112867240934,0.0037609033907702494,0.04521818420608723,0.0041232278282714915,4.159477163461539
0.9,0.8482407407407407,0.004264131708016318,0.20172962962962962,0.010179349331134084,0.024948759043000018,0.0037194385339861026,0.0394888511467874,0.004619250399141956,6.401721754807693
0.95,0.8487555555555556,0.0041698053623688185,0.19526666666666667,0.010115963764104986,0.021815041816781105,0.0035538840208361694,0.03595907224568225,0.004344042883486501,8.723343599759614
